Eruption Number,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Evidence Type,Evidence Method
22486,Cotopaxi,Confirmed,2.0,2022,10.0,21.0,2022.0,12.0,19.0,Observations,Reported
22481,Taal,Confirmed,1.0,2022,10.0,5.0,2022.0,10.0,29.0,Observations,Reported
22458,Turrialba,Confirmed,1.0,2022,7.0,17.0,2022.0,7.0,17.0,Observations,Reported
22453,Ulawun,Confirmed,2.0,2022,6.0,2.0,2022.0,6.0,2.0,Observations,Reported
22454,Raung,Confirmed,2.0,2022,5.0,14.0,2022.0,9.0,27.0,Observations,Satellite (infrared)
22445,Gaua,Confirmed,1.0,2022,5.0,3.0,2022.0,5.0,3.0,Observations,Reported
22451,Purace,Confirmed,1.0,2022,3.0,29.0,2022.0,3.0,29.0,Observations,Reported
22430,Ambrym,Confirmed,1.0,2022,1.0,25.0,2022.0,2.0,2.0,Observations,Reported
22456,Chikurachki,Confirmed,2.0,2022,1.0,17.0,2022.0,10.0,17.0,Observations,Satellite (visual)
22431,Wolf,Confirmed,2.0,2022,1.0,6.0,2022.0,4.0,14.0,Observations,Reported
22396,"Fournaise, Piton de la",Confirmed,0.0,2021,12.0,22.0,2022.0,1.0,17.0,Observations,Seismicity
22429,Hunga Tonga-Hunga Ha'apai,Confirmed,5.0,2021,12.0,20.0,2022.0,1.0,15.0,Observations,Reported
22420,Ambae,Confirmed,1.0,2021,12.0,5.0,2022.0,8.0,15.0,Observations,Reported
22423,Pinatubo,Confirmed,1.0,2021,11.0,30.0,2021.0,11.0,30.0,Observations,Reported
22421,Iliwerung,Confirmed,0.0,2021,11.0,28.0,2021.0,11.0,29.0,Observations,Reported
22475,Gaua,Confirmed,1.0,2021,11.0,16.0,2021.0,11.0,16.0,Observations,Reported
22452,Taal,Confirmed,2.0,2021,11.0,15.0,2022.0,4.0,1.0,Observations,Reported
22425,Turrialba,Confirmed,1.0,2021,11.0,3.0,2022.0,2.0,28.0,Observations,Reported
22424,Asosan,Confirmed,2.0,2021,10.0,14.0,2021.0,10.0,20.0,Observations,Reported
22419,Kavachi,Confirmed,0.0,2021,10.0,2.0,2022.0,12.0,19.0,Observations,Reported
22416,Kilauea,Confirmed,0.0,2021,9.0,29.0,2023.0,1.0,6.0,Observations,Reported
22417,La Palma,Confirmed,3.0,2021,9.0,19.0,2021.0,12.0,13.0,Observations,Reported
