Country Code,Country Name,Region Name,Income Group,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,Asia,Low,5.35740325126351,13.8263195479763,3.92498382161573,21.3905283931066,14.3624414692681,0.426354784529209
ALB,Albania,Europe,Lower middle,5.90265903591924,5.98325951855567,7.50004143020151,3.35428934987461,3.70693815255319,2.54540614450104
DZA,Algeria,Africa,Upper middle,1.70000000049772,3.39999999955816,2.40000000008489,1.60000000037586,3.60000000003535,2.89999999946306
ASM,American Samoa,Oceania,Upper middle,-4.09836065573771,1.85185185185186,-2.65734265734265,-4.16666666666666,0.299850074962521,0.0
AND,Andorra,Europe,High,4.80868869916921,1.55318814103222,-5.55918636850581,-5.30284654348291,-1.97495799965345,-0.0080697534113909
AGO,Angola,Africa,Lower middle,11.549999997879,14.0100000086059,11.1699999942146,0.860000002152788,4.85999999863851,3.47000000135648
ATG,Antigua and Barbuda,Americas,High,12.7081485327737,9.31538316339753,-0.0143406519435985,-11.9626972488343,-7.84059474412172,-1.95861262834343
ARG,Argentina,Americas,Upper middle,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579
ARM,Armenia,Asia,Lower middle,13.1999999994661,13.7000000015467,6.90000000042959,-14.1000000006998,2.2000000002151,4.69999999867412
ABW,Aruba,Americas,High,1.13890583689242,3.09672230042229,1.83343085625123,-11.6835855200153,-2.73259596616786,3.36677814938685
AUS,Australia,Oceania,High,2.74063570365783,3.77791678266478,3.5682700322582,1.87048696091408,2.20656631017093,2.3913851323057
AUT,Austria,Europe,High,3.45404183614122,3.72741530093519,1.4604236757386,-3.76457817791677,1.83709367680054,2.92279728368581
AZE,Azerbaijan,Asia,Lower middle,34.5,24.9999998515683,10.7589780604684,9.29636374447091,5.04894451349574,0.10000013782458
BHS,"Bahamas, The",Americas,High,2.51685393258427,1.44673388864534,-2.32350723624928,-4.17580555581704,1.53838597180609,0.613384158434997
BHR,Bahrain,Asia,High,6.46700012199585,8.29396044759683,6.24501077496258,2.53988593585052,4.33429917283131,1.98351501159991
BGD,Bangladesh,Asia,Low,6.67190498093571,7.05859935733267,6.01378975903386,5.0451247936724,5.57178818849806,6.46437912291931
BRB,Barbados,Americas,High,6.11271256415979,2.07764892490671,0.640098143663977,-5.01774449150307,-2.36516470308347,-0.687779067594548
BLR,Belarus,Europe,Upper middle,9.99999481247372,8.6000065362481,10.1999994395436,0.199995310014472,7.79826682269731,5.37870744981015
BEL,Belgium,Europe,High,2.55234994366351,3.67688113594973,0.446928735275904,-2.02074306169408,2.86429270764155,1.69451389861332
BLZ,Belize,Americas,Lower middle,4.58533823945655,3.27469553450609,-1.51991614255765,-0.452368281000531,1.25634856990109,-0.10559662090813
BEN,Benin,Africa,Low,3.94373882815798,5.98634932177609,4.89657708429647,2.31929213912838,2.11406472648392,2.96375291904201
BMU,Bermuda,Americas,High,5.5438663804406,3.34513970877607,-1.86595582635186,-5.6266977105161,-2.50287828947368,-3.74274431740703
BTN,Bhutan,Asia,Lower middle,6.99973809500906,18.3608540555453,4.79946061155896,6.74833374849808,11.9458959983757,7.98261704055791
BOL,Bolivia,Americas,Lower middle,4.79700882356067,4.56438426887887,6.14849787462164,3.35699957430565,4.1267225910567,5.204092443086
BIH,Bosnia and Herzegovina,Europe,Upper middle,5.41400357079434,5.85712634217094,5.44383103450177,-3.00445593013346,0.865669260237084,0.959511247241267
BWA,Botswana,Africa,Upper middle,8.3638710958036,5.79255577727118,3.25207295796832,-14.1442346163423,10.1222091179732,6.83852974803483
BRA,Brazil,Americas,Upper middle,3.96198871122617,6.06987060678338,5.09419544658736,-0.125812002161169,7.52822581815364,3.97442307944702
BRN,Brunei Darussalam,Asia,High,4.39771967752176,0.154581811742773,-1.93971463784671,-1.76453554132601,2.59896574643226,3.74531835205994
BGR,Bulgaria,Europe,Upper middle,6.80258922593249,6.65438682479358,6.12955970373739,-3.3471420954691,1.54180144307578,2.10120575009232
BFA,Burkina Faso,Africa,Low,6.25316468817478,4.11137901761516,5.79999174105387,2.96195085866692,8.44628157707625,6.62256261306693
BDI,Burundi,Africa,Low,5.41380714491444,3.45194856381943,4.86171636712641,3.81274536633418,5.12415999439806,4.03259998844415
CPV,Cabo Verde,Africa,Lower middle,7.98375044704545,15.17068796854,6.65052052259701,-1.27042596756841,1.46679009706938,3.96888634471986
KHM,Cambodia,Asia,Low,10.7710836701771,10.2125739126309,6.69157747471078,0.0866969592706113,5.96307857538696,7.0695699458918
CMR,Cameroon,Africa,Lower middle,3.80958327257856,4.32758901288912,2.84767788923097,2.57925177530984,2.89902472402312,3.3792112877077
CAN,Canada,Americas,High,2.63430381378384,2.06940988808428,1.00762269545756,-2.92840016684549,3.08949461982786,3.14688137207058
CAF,Central African Republic,Africa,Low,4.77108543044105,4.60753485452025,2.05413096200485,8.58726042640994,4.63081843223307,4.19461533741989
TCD,Chad,Africa,Low,0.648262014094513,3.27149957888643,3.05269153196828,4.21769555189633,13.5501008595489,0.0828697984381961
CHL,Chile,Americas,Upper middle,6.04999082563968,5.16823098528431,3.78939280635238,-1.11803723642878,5.85165102224047,6.22389678509138
CHN,China,Asia,Lower middle,12.7209556651723,14.2308609332879,9.65067891934387,9.39872563258297,10.6358710645426,9.55083217886425
COL,Colombia,Americas,Upper middle,6.71686869844402,6.73819469090975,3.28344618616541,1.13964864548062,4.49465897070922,6.94789198173555
COM,Comoros,Africa,Low,2.6469554759412,0.800042348955387,3.96461118871815,3.24074072826829,3.77776674982255,4.1435066947591
COD,"Congo, Dem. Rep.",Africa,Low,5.32097956548998,6.25947776437397,6.22589426869193,2.85506401011484,7.10797657581392,6.8746708900163
COG,"Congo, Rep.",Africa,Lower middle,7.98623836334291,-6.61399480441001,6.30637595585259,11.6372888615758,9.93126543095578,2.20591936286718
CRI,Costa Rica,Americas,Upper middle,7.32669543218398,8.21513198350125,4.73817487796701,-0.873455942799893,5.36034347985841,4.40315923970431
CIV,Cote d'Ivoire,Africa,Lower middle,2.8155785960885,1.1014297644742,4.78266598108668,3.60332156609111,6.84804940059942,-5.37044724136562
HRV,Croatia,Europe,High,4.88693807069566,5.00111243007304,2.00186402121545,-7.19344475945697,-1.22377948198006,-0.0866137790411159
CUB,Cuba,Americas,Upper middle,12.0658631129953,7.26213696647943,4.11682804164681,1.4513054307407,2.39035229650723,2.80230083647626
CYP,Cyprus,Asia,High,4.71382866563106,5.09806845261184,3.6468119905756,-2.01526235906867,2.28354499702917,0.416712762832276
CZE,Czechia,Europe,High,6.76693268125427,5.57033885921025,2.68641195092762,-4.65733109171755,2.43490215904518,1.76035962445222
DNK,Denmark,Europe,High,3.9130079783106,0.909238928302372,-0.512016744849106,-4.90654772965155,1.87099114718497,1.33677776690328
DMA,Dominica,Americas,Upper middle,4.65945548635737,6.3529724394503,7.12105798575789,-1.16959064327486,0.672634400445048,-0.22355068823471
DOM,Dominican Republic,Americas,Upper middle,9.1743554058408,7.41595171481455,3.20950426157958,0.946155167790621,8.33965105962218,3.13342300326755
ECU,Ecuador,Americas,Lower middle,4.40352643383186,2.1900639722454,6.35713059990832,0.566491592100093,3.52529866894027,7.86814091910996
EGY,"Egypt, Arab Rep.",Africa,Lower middle,6.84383819698924,7.08782742739524,7.15628356351688,4.67359980040543,5.14723485873294,1.76457194925801
SLV,El Salvador,Americas,Lower middle,4.34834979523006,1.85847858709454,2.13055303717135,-2.0861074123391,2.10788757932909,3.80688124306326
GNQ,Equatorial Guinea,Africa,High,7.70491760658767,15.2821139194857,17.7991091333811,1.34335628806095,-8.92417588851806,6.52392362989873
ERI,Eritrea,Africa,Low,-0.969217110711355,1.42682221120323,-9.78303001782456,3.8765015275421,2.19419034888082,8.67980010138049
EST,Estonia,Europe,High,9.76558336997708,7.57914052046765,-5.13200095768519,-14.6290550324223,2.44426511799784,7.26308458128695
SWZ,Eswatini,Africa,Lower middle,5.9921668378351,4.43537557686975,0.821663913800052,1.56504885243515,3.79375496828149,2.247229761068
ETH,Ethiopia,Africa,Low,10.834727065877,11.4561670000236,10.7885216853725,8.80255319782566,12.5505383459308,11.1782962271641
FJI,Fiji,Oceania,Upper middle,1.85248387199486,-0.850654310045826,1.03279422025967,-1.38603770763581,2.95467242212241,2.70514302901049
FIN,Finland,Europe,High,4.02740965802573,5.29933650739021,0.783995060876521,-8.0744474323113,3.18595865407703,2.54766483842627
FRA,France,Europe,High,2.44932360111885,2.42473624337305,0.254945960124005,-2.87331382849631,1.94943762312663,2.19270063266654
PYF,French Polynesia,Oceania,High,-1.96740694373416,0.171339929741677,-3.67802970819771,-3.47926851081043,-4.71883248720241,-5.38834577415309
GAB,Gabon,Africa,Upper middle,-2.80657835569052,6.00810802487668,-3.30843064878751,0.130331119816617,7.08988731455126,7.09175334258654
GMB,"Gambia, The",Africa,Low,-0.555580977246521,3.04324950829739,6.25590553394287,6.6657243078367,5.90833580968288,-8.13044422315659
GEO,Georgia,Asia,Lower middle,9.41977064759736,12.5789534308973,2.41857165904172,-3.65051363069394,6.24948776787187,7.3999998671419
DEU,Germany,Europe,High,3.816441912988,2.97645513131597,0.95987913356484,-5.69383633640285,4.17988249873657,3.92519270463411
GHA,Ghana,Africa,Low,6.39991260618034,4.34681910440079,9.14979893831817,4.84448705175076,7.89971194051621,14.0471235803149
GRC,Greece,Europe,High,5.65243362169147,3.27374690421107,-0.335172341805816,-4.30073367269142,-5.47821774237963,-10.1493148298685
GRL,Greenland,Americas,High,5.55569490080012,2.3524379811805,6.1661327018619,0.865952328886948,1.73582505889665,-0.496519391959083
GRD,Grenada,Americas,Upper middle,-3.99532824427482,6.12345094741467,0.947542624907697,-6.61328134799545,-0.511262754149129,0.764976824032317
GUM,Guam,Oceania,High,-3.65251727541954,0.717213114754102,2.03458799593082,0.438683948155543,2.26325193567601,0.0776548243059523
GTM,Guatemala,Americas,Lower middle,5.35139778711536,6.33771869016203,3.29352400028485,0.476898106596394,2.88417542800377,4.16390688293349
GIN,Guinea,Africa,Low,1.18960211724379,6.81747111252537,4.13301615879924,-1.12264204848687,4.81336016967553,5.61211177430975
GNB,Guinea-Bissau,Africa,Low,2.30935799764794,3.26295545608291,3.20356730693297,3.36897495773184,4.61097090010318,8.08477973398716
GUY,Guyana,Americas,Lower middle,5.12960934773,7.19123624057457,1.75522349592019,3.61150847218585,4.13844160137342,5.19625156051602
HTI,Haiti,Americas,Low,1.76875060288195,4.70652994008303,2.6580323082747,5.89037894844316,-5.65151153448299,5.09821354410036
HND,Honduras,Americas,Lower middle,6.56724355177587,6.18832716678008,4.23160011009342,-2.43162787988011,3.73114034433009,3.83569066207505
HKG,"Hong Kong SAR, China",Asia,High,7.03260256742726,6.4648299654374,2.12795656374081,-2.45905003940163,6.76767181619664,4.81469995348117
HUN,Hungary,Europe,High,3.9460668802932,0.277372772325805,1.00394302900897,-6.59786721850169,1.0762540427767,1.86683747544298
ISL,Iceland,Europe,High,6.31699308637074,8.45486009612951,2.20949641882098,-7.66380956025947,-2.83277491540855,1.84577915624217
IND,India,Asia,Lower middle,8.06073257303272,7.66081506504928,3.08669805953289,7.86188883303498,8.49758470158106,5.24131500140663
IDN,Indonesia,Asia,Lower middle,5.50095178520348,6.34502222667214,6.01370360009123,4.62887118256153,6.22385418062366,6.16978420771008
IRN,"Iran, Islamic Rep.",Asia,Lower middle,4.99979526181171,8.15577352358534,0.250856553494089,1.00738545790475,5.79793830169604,2.64571791806256
IRQ,Iraq,Asia,Lower middle,5.64629780126877,1.88557214096838,8.22810710383277,3.37929909442771,6.40256484471193,7.546471200426
IRL,Ireland,Europe,High,4.98785347349479,5.31011814691841,-4.48407049219472,-5.09578275532317,1.68297153835975,0.833830148555222
IMN,Isle of Man,Europe,High,7.69999871253432,7.50000022988817,4.90000100081545,2.10000027181374,3.39999842395957,1.99999938207415
ISR,Israel,Asia,High,5.58266795932438,6.0332135706837,3.25116336079073,0.883120393565378,5.66851511790733,5.56113907589013
ITA,Italy,Europe,High,1.79063968081796,1.48707298036786,-0.962012840579291,-5.2809372082931,1.71329583916922,0.707333347034435
JAM,Jamaica,Americas,Upper middle,2.89912534958872,1.43195403665118,-0.811736703280815,-4.3453018579464,-1.45714720947502,1.73037626746921
JPN,Japan,Asia,High,1.37235012762038,1.48396941163492,-1.22428900072828,-5.69323635882266,4.09791791930137,0.0238095237748297
JOR,Jordan,Asia,Lower middle,8.09297510302018,8.17617001218549,7.22038604526078,5.02371019679863,2.31483414260533,2.73717983156862
KAZ,Kazakhstan,Asia,Upper middle,10.7,8.89999999999405,3.30000000021091,1.19999999942873,7.30000000016202,7.40000000068393
KEN,Kenya,Africa,Low,6.47249430015484,6.85072976998784,0.232282744812977,3.30693981631089,8.05847360290906,5.1211061197056
KIR,Kiribati,Oceania,Lower middle,-0.0492953226795265,2.03494726487787,-2.09143675813912,0.802819886903677,-1.12026026125162,1.76257601036156
KOR,"Korea, Rep.",Asia,High,5.26432659466724,5.79954841503216,3.01298487281167,0.792698989518186,6.80482491783671,3.68566778212526
KWT,Kuwait,Asia,High,7.51477300024021,5.99157551059318,2.47975694278544,-7.07605643073413,-2.37026412020435,9.6284069747757
KGZ,Kyrgyz Republic,Asia,Low,3.10289874533464,8.54287476445191,8.40161605989968,2.8862945753759,-0.471566601130149,5.95627430862646
LAO,Lao PDR,Asia,Low,8.61926620873047,7.59682880050465,7.82490276260827,7.50177491260473,8.52690551722873,8.03865268080929
LVA,Latvia,Europe,Upper middle,11.9718356939022,9.941921627624,-3.24912072305602,-14.2601400377132,-4.455567259981,2.57371236333377
LBN,Lebanon,Asia,Upper middle,1.5495150020831,9.31062252462907,9.06912826931607,10.2321555771179,7.97513555920943,0.867339877167865
LSO,Lesotho,Africa,Lower middle,4.23009485409366,4.18791441799631,5.52202820126872,-1.25551462572604,5.26628065286225,4.61425223766247
LBR,Liberia,Africa,Low,8.04390997190059,9.53527536282282,7.14569112811476,5.30054050291531,6.09982524004147,8.20076822497064
LTU,Lithuania,Europe,Upper middle,7.41412133545715,11.1074801410501,2.61442303328732,-14.8386083735986,1.65124065328366,6.03900816040344
LUX,Luxembourg,Europe,High,6.01671504402741,8.0986676066054,-0.30017619444267,-3.23895402683188,3.76041359255095,1.04429869455731
MAC,"Macao SAR, China",Asia,High,13.3903902872314,14.4763891473606,3.39157983879505,1.27432088021384,25.1227596366315,21.6165288779235
MDG,Madagascar,Africa,Low,5.39850845004474,5.71056419690301,6.71263254242815,-3.97870861280433,0.619239745847793,1.57842705122724
MWI,Malawi,Africa,Low,4.69999999288393,9.60000000520431,7.63973677473442,8.32811027524846,6.8740656329648,4.85405511117214
MYS,Malaysia,Asia,Upper middle,5.5848470671515,6.29878592740947,4.83176988913097,-1.51352871598714,7.42484738326097,5.29391283414003
MDV,Maldives,Asia,Lower middle,26.1114935010553,7.71386727084705,9.48533266057873,-7.22884146529458,7.26512906840138,8.56673353050461
MLI,Mali,Africa,Low,4.66218687758322,3.49361681253744,4.77314508142975,4.80632226697864,5.31393527895875,3.21313378044307
MLT,Malta,Europe,High,2.51049194733572,4.77534732485961,3.82559140088306,-1.13310598752768,5.5435693770699,0.466127625222981
MHL,Marshall Islands,Oceania,Lower middle,0.202496713843288,3.39201507666694,-7.64642412127914,3.67331570483044,5.42162382855895,-0.307239550027475
MRT,Mauritania,Africa,Low,18.3331987597713,-1.96942275160761,-0.331079195278377,0.0978758719728035,2.62022952055378,4.17278328304418
MUS,Mauritius,Africa,Upper middle,4.8655445910714,5.72701615981669,5.38696254207251,3.31507699790781,4.37720322344293,4.07753806610333
MEX,Mexico,Americas,Upper middle,4.49507789421408,2.29144571429802,1.14358458719401,-5.28574413681751,5.11811814321163,3.66300792950094
FSM,"Micronesia, Fed. Sts.",Oceania,Lower middle,-0.0810552934164832,-1.83618529402398,-2.40849258666222,1.09309924105246,2.25938995585932,3.18857475473928
